"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"metab_vision_pop"
"02/13/2024 13:20:22:133 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","max-metabolism","max-vision","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles"
"213","300","4","10","149","196","0.6533333333333333","47","0.40180450477535823","5.551020408163265","1.969387755102041"
"212","200","4","10","195","135","0.675","93","0.35030239873881475","5.837037037037037","1.9259259259259258"
"215","500","4","10","316","264","0.528","214","0.3724317745865269","5.9356060606060606","1.7424242424242424"
"216","600","4","10","255","283","0.4716666666666667","153","0.2431834568478368","5.985865724381625","1.4628975265017667"
"217","700","4","10","235","330","0.4714285714285714","133","0.2780111925860915","5.633333333333334","1.4424242424242424"
"214","400","4","10","445","255","0.6375","343","0.3850157109342028","5.901960784313726","1.7921568627450981"
"218","800","4","10","161","368","0.46","59","0.30470702724105864","5.877717391304348","1.502717391304348"
"222","200","6","10","161","99","0.495","59","0.3130014458039318","5.848484848484849","1.8484848484848484"
"221","100","6","10","411","51","0.51","309","0.29065479168137254","5.745098039215686","1.9803921568627452"
"219","900","4","10","175","387","0.43","73","0.32388103816854386","5.475452196382429","1.4806201550387597"
"220","1000","4","10","148","452","0.452","46","0.3553245908000539","5.6084070796460175","1.4800884955752212"
"224","400","6","10","137","179","0.4475","35","0.3423916454929274","5.743016759776537","1.8603351955307263"
"225","500","6","10","237","203","0.406","135","0.38238555151373804","5.857142857142857","1.8768472906403941"
"223","300","6","10","250","136","0.4533333333333333","148","0.3764157461900482","5.875","2.036764705882353"
"227","700","6","10","228","268","0.38285714285714284","126","0.3464814352007579","5.873134328358209","1.7014925373134329"
"226","600","6","10","350","243","0.405","248","0.37820634760632416","6.473251028806584","1.9012345679012346"
"231","100","8","10","261","48","0.48","159","0.3187726235929986","6.395833333333333","2.2083333333333335"
"232","200","8","10","271","69","0.345","169","0.3228551548609776","6.159420289855072","1.9855072463768115"
"233","300","8","10","166","97","0.3233333333333333","64","0.33486016824804676","6.010309278350515","2.0103092783505154"
"234","400","8","10","140","124","0.31","38","0.35349844701930616","5.92741935483871","2"
"229","900","6","10","336","294","0.32666666666666666","234","0.3083587854886397","5.809523809523809","1.58843537414966"
"209","900","2","10","623","726","0.8066666666666666","521","0.4299870666750956","6.090909090909091","1.4201101928374655"
"235","500","8","10","159","155","0.31","57","0.34823762925224044","5.916129032258064","1.896774193548387"
"236","600","8","10","156","175","0.2916666666666667","54","0.369145521921972","5.622857142857143","1.9142857142857144"
"228","800","6","10","558","282","0.3525","456","0.30575699192946815","5.75886524822695","1.5283687943262412"
"237","700","8","10","219","220","0.3142857142857143","117","0.3779326064250364","6.1863636363636365","1.9181818181818182"
"241","100","10","10","171","40","0.4","69","0.4015953269193009","5.75","2.4"
"208","800","2","10","671","698","0.8725","569","0.44795121340983707","6.081661891117479","1.4584527220630372"
"242","200","10","10","174","60","0.3","72","0.36817773086245986","6.283333333333333","2.2"
"238","800","8","10","290","231","0.28875","188","0.37910865325396387","6.1645021645021645","1.8398268398268398"
"243","300","10","10","176","88","0.29333333333333333","74","0.29914731339446393","6.056818181818182","2"
"244","400","10","10","210","122","0.305","108","0.3589808908387143","6.040983606557377","1.9508196721311475"
"240","1000","8","10","313","262","0.262","211","0.3423835731357529","5.973282442748092","1.6793893129770991"
"245","500","10","10","232","142","0.284","130","0.3277816708046191","6.197183098591549","1.8943661971830985"
"246","600","10","10","132","163","0.27166666666666667","30","0.3559604273835359","5.58282208588957","1.950920245398773"
"251","100","2","2","126","71","0.71","24","0.21410604622929602","1.380281690140845","1.3943661971830985"
"239","900","8","10","368","267","0.2966666666666667","266","0.29905969258855686","5.764044943820225","1.6142322097378277"
"247","700","10","10","184","183","0.26142857142857145","82","0.3758069783973235","5.786885245901639","1.9617486338797814"
"252","200","2","2","126","168","0.84","24","0.2484071717866422","1.4404761904761905","1.3928571428571428"
"253","300","2","2","126","244","0.8133333333333334","24","0.293693393831767","1.4426229508196722","1.4836065573770492"
"230","1000","6","10","477","290","0.29","375","0.28884465512692076","5.813793103448276","1.5448275862068965"
"210","1000","2","10","710","748","0.748","608","0.3532158225422172","6.204545454545454","1.3101604278074865"
"254","400","2","2","126","322","0.805","24","0.3274624414687591","1.4968944099378882","1.4409937888198758"
"249","900","10","10","225","232","0.2577777777777778","123","0.376091706765751","5.987068965517241","1.8663793103448276"
"255","500","2","2","126","396","0.792","24","0.3391411671619734","1.5353535353535352","1.4015151515151516"
"250","1000","10","10","241","232","0.232","139","0.3886886732531237","6.064655172413793","1.8620689655172413"
"248","800","10","10","261","220","0.275","159","0.3971424791250149","6.1909090909090905","1.9545454545454546"
"256","600","2","2","126","489","0.815","24","0.37173633439242426","1.5173824130879345","1.460122699386503"
"262","200","4","2","275","101","0.505","173","0.34423346983089265","1.5544554455445545","1.9306930693069306"
"261","100","4","2","348","52","0.52","246","0.36503004785966353","1.3846153846153846","1.7692307692307692"
"263","300","4","2","259","146","0.4866666666666667","157","0.3211539985215403","1.5273972602739727","1.773972602739726"
"257","700","2","2","204","553","0.79","102","0.4025888777367165","1.488245931283906","1.4285714285714286"
"265","500","4","2","375","236","0.472","273","0.3608450542531591","1.576271186440678","1.6440677966101696"
"266","600","4","2","344","279","0.465","242","0.3753080625690983","1.5663082437275986","1.5663082437275986"
"264","400","4","2","629","191","0.4775","527","0.37764959847141705","1.617801047120419","1.706806282722513"
"258","800","2","2","425","635","0.79375","323","0.4373335457777277","1.5354330708661417","1.4488188976377954"
"271","100","6","2","127","34","0.34","25","0.3549914870146999","1.5588235294117647","1.7647058823529411"
"272","200","6","2","186","77","0.385","84","0.2890419310560931","1.5194805194805194","1.7922077922077921"
"273","300","6","2","205","98","0.32666666666666666","103","0.37294860968388477","1.5918367346938775","1.683673469387755"
"259","900","2","2","471","686","0.7622222222222222","369","0.48053613234878156","1.5247813411078717","1.4708454810495626"
"267","700","4","2","560","299","0.42714285714285716","458","0.356877084200127","1.5451505016722409","1.5585284280936456"
"269","900","4","2","347","346","0.3844444444444444","245","0.3683864137697844","1.5491329479768785","1.476878612716763"
"274","400","6","2","256","154","0.385","154","0.3607588649754607","1.5714285714285714","1.7727272727272727"
"270","1000","4","2","379","411","0.411","277","0.3794826789418498","1.5231143552311435","1.389294403892944"
"276","600","6","2","236","192","0.32","134","0.3526722460298182","1.5677083333333333","1.6927083333333333"
